,Itemset,Antecedent Support,Union Support,Confidence,Lift
77,"frozenset({'no_https_1', 'qty_-_directory_0.0_2.0'})",0.2005375,0.15085,0.7522283862120551,2.005942363232147
78,"frozenset({'no_https_1', 'email_in_url_0', 'qty_-_directory_0.0_2.0'})",0.1985125,0.14885,0.7498268371009382,1.9995382322691686
79,"frozenset({'no_https_1', 'qty_-_directory_0.0_2.0', 'qty_params_0.0_4.0'})",0.1978875,0.148425,0.750047375402691,2.000126334407176
80,"frozenset({'no_https_1', 'qty___params_0.0_2.0', 'qty_-_directory_0.0_2.0'})",0.1977875,0.1483375,0.7499842002148771,1.9999578672396723
81,"frozenset({'at_symbol_0', 'no_https_1', 'qty_-_directory_0.0_2.0'})",0.1975875,0.147925,0.7486556588853039,1.9964150903608104
82,"frozenset({'qty_._params_0.0_2.0', 'no_https_1', 'qty_-_directory_0.0_2.0'})",0.1972875,0.1476875,0.7485902553380219,1.9962406809013917
83,"frozenset({'no_https_1', 'domain_in_paths_0', 'qty_-_directory_0.0_2.0'})",0.194875,0.1457125,0.7477228992944195,1.9939277314517854
84,"frozenset({'no_https_1', 'qty_-_domain_0.0_3.0', 'qty_-_directory_0.0_2.0'})",0.194275,0.1447875,0.7452708789087634,1.9873890104233691
85,"frozenset({'email_in_url_0', 'no_https_1', 'qty_-_directory_0.0_2.0', 'qty_params_0.0_4.0'})",0.1960625,0.146625,0.7478482626713421,1.9942620337902455
86,"frozenset({'no_https_1', 'qty_-_directory_0.0_2.0', 'qty___params_0.0_2.0', 'qty_params_0.0_4.0'})",0.1961125,0.1468125,0.7486136783733827,1.9963031423290205
87,"frozenset({'email_in_url_0', 'no_https_1', 'qty___params_0.0_2.0', 'qty_-_directory_0.0_2.0'})",0.196075,0.14665,0.747928088741553,1.994474903310808
88,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'qty_params_0.0_4.0', 'qty___params_0.0_2.0', 'no_https_1'})",0.19445,0.145175,0.7465929544870146,1.9909145452987056
89,"frozenset({'at_symbol_0', 'no_https_1', 'email_in_url_0', 'qty_-_directory_0.0_2.0'})",0.1975875,0.147925,0.7486556588853039,1.9964150903608104
90,"frozenset({'at_symbol_0', 'no_https_1', 'qty_-_directory_0.0_2.0', 'qty_params_0.0_4.0'})",0.1954625,0.146025,0.7470742469783206,1.9921979919421882
91,"frozenset({'at_symbol_0', 'no_https_1', 'qty___params_0.0_2.0', 'qty_-_directory_0.0_2.0'})",0.195325,0.1459,0.7469601945475489,1.991893852126797
92,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'qty_params_0.0_4.0', 'at_symbol_0', 'no_https_1'})",0.1954625,0.146025,0.7470742469783206,1.9921979919421882
93,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'at_symbol_0', 'qty___params_0.0_2.0', 'no_https_1'})",0.195325,0.1459,0.7469601945475489,1.991893852126797
94,"frozenset({'qty_-_directory_0.0_2.0', 'qty_params_0.0_4.0', 'at_symbol_0', 'qty___params_0.0_2.0', 'no_https_1'})",0.19385,0.144575,0.7458086149084344,1.9888229730891585
95,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'qty_params_0.0_4.0', 'at_symbol_0', 'qty___params_0.0_2.0', 'no_https_1'})",0.19385,0.144575,0.7458086149084344,1.9888229730891585
96,"frozenset({'qty_._params_0.0_2.0', 'no_https_1', 'qty_-_directory_0.0_2.0', 'qty_params_0.0_4.0'})",0.196075,0.146675,0.748055590972842,1.994814909260912
97,"frozenset({'qty_._params_0.0_2.0', 'no_https_1', 'email_in_url_0', 'qty_-_directory_0.0_2.0'})",0.1957375,0.1461625,0.7467271217830002,1.991272324754667
98,"frozenset({'qty_._params_0.0_2.0', 'no_https_1', 'qty___params_0.0_2.0', 'qty_-_directory_0.0_2.0'})",0.1953,0.145925,0.7471838197644649,1.992490186038573
99,"frozenset({'at_symbol_0', 'no_https_1', 'qty_._params_0.0_2.0', 'qty_-_directory_0.0_2.0'})",0.19515,0.145575,0.7459646425826288,1.9892390468870103
100,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'qty_._params_0.0_2.0', 'qty_params_0.0_4.0', 'no_https_1'})",0.1945375,0.1451625,0.7461928934010152,1.9898477157360406
101,"frozenset({'qty_-_directory_0.0_2.0', 'qty_._params_0.0_2.0', 'qty_params_0.0_4.0', 'qty___params_0.0_2.0', 'no_https_1'})",0.19435,0.1451125,0.7466555183946488,1.9910813823857303
102,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'qty_._params_0.0_2.0', 'qty___params_0.0_2.0', 'no_https_1'})",0.1939,0.14455,0.7454873646209388,1.9879663056558368
103,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'qty_._params_0.0_2.0', 'qty_params_0.0_4.0', 'qty___params_0.0_2.0', 'no_https_1'})",0.1929625,0.14375,0.7449633996242793,1.9865690656647448
104,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'qty_._params_0.0_2.0', 'at_symbol_0', 'no_https_1'})",0.19515,0.145575,0.7459646425826288,1.9892390468870103
105,"frozenset({'qty_-_directory_0.0_2.0', 'qty_._params_0.0_2.0', 'qty_params_0.0_4.0', 'at_symbol_0', 'no_https_1'})",0.19395,0.144575,0.7454240783707141,1.9877975423219043
106,"frozenset({'qty_-_directory_0.0_2.0', 'qty_._params_0.0_2.0', 'at_symbol_0', 'qty___params_0.0_2.0', 'no_https_1'})",0.1933125,0.1439625,0.744713870029098,1.9859036534109278
107,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'qty_._params_0.0_2.0', 'qty_params_0.0_4.0', 'at_symbol_0', 'no_https_1'})",0.19395,0.144575,0.7454240783707141,1.9877975423219043
108,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'qty_._params_0.0_2.0', 'at_symbol_0', 'qty___params_0.0_2.0', 'no_https_1'})",0.1933125,0.1439625,0.744713870029098,1.9859036534109278
109,"frozenset({'qty_-_directory_0.0_2.0', 'qty_._params_0.0_2.0', 'qty_params_0.0_4.0', 'at_symbol_0', 'qty___params_0.0_2.0', 'no_https_1'})",0.192375,0.1431625,0.7441845354126057,1.984492094433615
110,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'qty_._params_0.0_2.0', 'qty_params_0.0_4.0', 'at_symbol_0', 'qty___params_0.0_2.0', 'no_https_1'})",0.192375,0.1431625,0.7441845354126057,1.984492094433615
111,"frozenset({'no_https_1', 'domain_in_paths_0', 'email_in_url_0', 'qty_-_directory_0.0_2.0'})",0.19295,0.1437875,0.7452060119201867,1.9872160317871643
112,"frozenset({'no_https_1', 'domain_in_paths_0', 'qty___params_0.0_2.0', 'qty_-_directory_0.0_2.0'})",0.1925625,0.1436375,0.74592664719247,1.9891377258465868
113,"frozenset({'no_https_1', 'domain_in_paths_0', 'qty_-_directory_0.0_2.0', 'qty_params_0.0_4.0'})",0.1923375,0.1434,0.7455644375121856,1.9881718333658283
114,"frozenset({'at_symbol_0', 'no_https_1', 'domain_in_paths_0', 'qty_-_directory_0.0_2.0'})",0.1920375,0.142875,0.7439953134153485,1.9839875024409295
115,"frozenset({'qty_._params_0.0_2.0', 'no_https_1', 'domain_in_paths_0', 'qty_-_directory_0.0_2.0'})",0.191825,0.14275,0.7441678613319431,1.984447630218515
116,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'domain_in_paths_0', 'qty___params_0.0_2.0', 'no_https_1'})",0.19095,0.142025,0.7437810945273632,1.9834162520729686
117,"frozenset({'qty_-_directory_0.0_2.0', 'domain_in_paths_0', 'qty_params_0.0_4.0', 'qty___params_0.0_2.0', 'no_https_1'})",0.190925,0.14215,0.7445331936624329,1.9854218497664877
118,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'domain_in_paths_0', 'qty_params_0.0_4.0', 'no_https_1'})",0.1906125,0.141675,0.7432618532362778,1.9820316086300742
119,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'domain_in_paths_0', 'qty_params_0.0_4.0', 'qty___params_0.0_2.0', 'no_https_1'})",0.1893625,0.1405875,0.7424252425902701,1.979800646907387
120,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'domain_in_paths_0', 'at_symbol_0', 'no_https_1'})",0.1920375,0.142875,0.7439953134153485,1.9839875024409295
121,"frozenset({'qty_-_directory_0.0_2.0', 'domain_in_paths_0', 'at_symbol_0', 'qty___params_0.0_2.0', 'no_https_1'})",0.1902125,0.1412875,0.7427876716829862,1.9807671244879632
122,"frozenset({'qty_-_directory_0.0_2.0', 'domain_in_paths_0', 'qty_params_0.0_4.0', 'at_symbol_0', 'no_https_1'})",0.190025,0.1410875,0.742468096303118,1.9799149234749815
123,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'domain_in_paths_0', 'at_symbol_0', 'qty___params_0.0_2.0', 'no_https_1'})",0.1902125,0.1412875,0.7427876716829862,1.9807671244879632
124,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'domain_in_paths_0', 'qty_params_0.0_4.0', 'at_symbol_0', 'no_https_1'})",0.190025,0.1410875,0.742468096303118,1.9799149234749815
125,"frozenset({'qty_-_directory_0.0_2.0', 'domain_in_paths_0', 'qty_params_0.0_4.0', 'at_symbol_0', 'qty___params_0.0_2.0', 'no_https_1'})",0.188775,0.14,0.7416236260098001,1.9776630026928004
126,"frozenset({'qty_-_directory_0.0_2.0', 'email_in_url_0', 'domain_in_paths_0', 'qty_params_0.0_4.0', 'at_symbol_0', 'qty___params_0.0_2.0', 'no_https_1'})",0.188775,0.14,0.7416236260098001,1.9776630026928004
127,"frozenset({'qty_-_directory_0.0_2.0', 'qty_._params_0.0_2.0', 'domain_in_paths_0', 'qty_params_0.0_4.0', 'no_https_1'})",0.1906375,0.1417625,0.7436233689594126,1.9829956505584336
128,"frozenset({'qty_-_directory_0.0_2.0', 'qty_._params_0.0_2.0', 'domain_in_paths_0', 'qty___params_0.0_2.0', 'no_https_1'})",0.190225,0.141375,0.7431988434748324,1.9818635825995532
